vector_name,vector_number1,season_week,value
u,0,0,-0.16200748527898995
u,0,1,-0.16222308144853087
u,0,2,-0.16121316550154305
u,0,3,-0.15998278029460894
u,0,4,-0.16122835581056832
u,0,5,-0.15283680535159552
u,0,6,-0.14865268454212838
u,0,7,-0.14804511421718997
u,0,8,-0.1411536303755346
u,0,9,-0.11770008708984729
u,0,10,-0.07352947637662892
u,0,11,-0.0020593975895055643
u,0,12,0.13232563149874227
u,0,13,0.24317668747572913
u,0,14,0.15174739432241924
u,0,15,0.1522166446565477
u,0,16,0.22705860572428666
u,0,17,0.3357296403939948
u,0,18,0.39602751812810844
u,0,19,0.31897248395333777
u,0,20,0.24779300791057826
u,0,21,0.17200405074087446
u,0,22,0.1059906214524289
u,0,23,0.04139969457627987
u,0,24,-0.013368249540703165
u,0,25,-0.052193635218446464
u,0,26,-0.08351304539797784
u,0,27,-0.10756163471083999
u,0,28,-0.11981926304500191
u,0,29,-0.1281446703703337
u,0,30,-0.13841999541226677
u,0,31,-0.14398771987145978
u,0,32,-0.1468017033896267
u,1,0,-0.11958654956254669
u,1,1,-0.11555574950645328
u,1,2,-0.10847730898897755
u,1,3,-0.08337209195794207
u,1,4,-0.053950984885916424
u,1,5,-0.01592993211027475
u,1,6,0.03911466957028545
u,1,7,0.1560979843916119
u,1,8,0.3151629779270673
u,1,9,0.3276294962384582
u,1,10,0.33749073661724566
u,1,11,0.3485678613186397
u,1,12,0.41007385118911654
u,1,13,0.2943545501089776
u,1,14,0.11325426225754659
u,1,15,0.02147598237381685
u,1,16,-0.02950745780959731
u,1,17,-0.08083931709235487
u,1,18,-0.128289029094611
u,1,19,-0.1335736349041265
u,1,20,-0.13351379968639818
u,1,21,-0.12217438642682153
u,1,22,-0.11233860601001219
u,1,23,-0.10136622319288477
u,1,24,-0.10567205017962485
u,1,25,-0.10519377345490409
u,1,26,-0.1071576763940825
u,1,27,-0.10938258268265369
u,1,28,-0.11773220508318913
u,1,29,-0.11812990589599358
u,1,30,-0.11974778274411739
u,1,31,-0.12133671643874992
u,1,32,-0.1203946078905344
u,2,0,-0.03947401343125871
u,2,1,-0.02662271131353367
u,2,2,-0.017350023914386704
u,2,3,0.025279446303118538
u,2,4,0.07735050893745074
u,2,5,0.09456013859616806
u,2,6,0.12573028687633545
u,2,7,0.279274595403274
u,2,8,0.40415991330011164
u,2,9,0.2790304718103494
u,2,10,0.11036724065046907
