col_key,season,location,location_name,col_id
2020/2021__04,2020/2021,04,Arizona,2
2020/2021__09,2020/2021,09,Connecticut,6
2020/2021__13,2020/2021,13,Georgia,10
2020/2021__26,2020/2021,26,Michigan,22
2020/2021__32,2020/2021,32,Nevada,28
2020/2021__36,2020/2021,36,New York,32
2020/2021__45,2020/2021,45,South Carolina,40
2020/2021__46,2020/2021,46,South Dakota,41
2020/2021__47,2020/2021,47,Tennessee,42
2020/2021__US,2020/2021,US,US,52
2021/2022__01,2021/2022,01,Alabama,53
2021/2022__02,2021/2022,02,Alaska,54
2021/2022__04,2021/2022,04,Arizona,55
2021/2022__05,2021/2022,05,Arkansas,56
2021/2022__06,2021/2022,06,California,57
2021/2022__08,2021/2022,08,Colorado,58
2021/2022__09,2021/2022,09,Connecticut,59
2021/2022__10,2021/2022,10,Delaware,60
2021/2022__11,2021/2022,11,District of Columbia,61
2021/2022__12,2021/2022,12,Florida,62
2021/2022__13,2021/2022,13,Georgia,63
2021/2022__15,2021/2022,15,Hawaii,64
2021/2022__16,2021/2022,16,Idaho,65
2021/2022__17,2021/2022,17,Illinois,66
2021/2022__18,2021/2022,18,Indiana,67
2021/2022__19,2021/2022,19,Iowa,68
2021/2022__20,2021/2022,20,Kansas,69
2021/2022__21,2021/2022,21,Kentucky,70
2021/2022__22,2021/2022,22,Louisiana,71
2021/2022__23,2021/2022,23,Maine,72
2021/2022__24,2021/2022,24,Maryland,73
2021/2022__25,2021/2022,25,Massachusetts,74
2021/2022__26,2021/2022,26,Michigan,75
2021/2022__27,2021/2022,27,Minnesota,76
2021/2022__28,2021/2022,28,Mississippi,77
2021/2022__29,2021/2022,29,Missouri,78
2021/2022__30,2021/2022,30,Montana,79
2021/2022__31,2021/2022,31,Nebraska,80
2021/2022__32,2021/2022,32,Nevada,81
2021/2022__33,2021/2022,33,New Hampshire,82
2021/2022__34,2021/2022,34,New Jersey,83
2021/2022__35,2021/2022,35,New Mexico,84
2021/2022__36,2021/2022,36,New York,85
2021/2022__37,2021/2022,37,North Carolina,86
2021/2022__38,2021/2022,38,North Dakota,87
2021/2022__39,2021/2022,39,Ohio,88
2021/2022__40,2021/2022,40,Oklahoma,89
2021/2022__41,2021/2022,41,Oregon,90
2021/2022__42,2021/2022,42,Pennsylvania,91
2021/2022__44,2021/2022,44,Rhode Island,92
2021/2022__45,2021/2022,45,South Carolina,93
2021/2022__46,2021/2022,46,South Dakota,94
2021/2022__47,2021/2022,47,Tennessee,95
2021/2022__48,2021/2022,48,Texas,96
2021/2022__49,2021/2022,49,Utah,97
2021/2022__50,2021/2022,50,Vermont,98
2021/2022__51,2021/2022,51,Virginia,99
2021/2022__53,2021/2022,53,Washington,100
2021/2022__54,2021/2022,54,West Virginia,101
2021/2022__55,2021/2022,55,Wisconsin,102
2021/2022__56,2021/2022,56,Wyoming,103
2021/2022__72,2021/2022,72,Puerto Rico,104
2021/2022__US,2021/2022,US,US,105
2022/2023__01,2022/2023,01,Alabama,106
2022/2023__02,2022/2023,02,Alaska,107
2022/2023__04,2022/2023,04,Arizona,108
2022/2023__05,2022/2023,05,Arkansas,109
2022/2023__06,2022/2023,06,California,110
2022/2023__08,2022/2023,08,Colorado,111
2022/2023__09,2022/2023,09,Connecticut,112
