date,location,location_name,population,value,season,season_week,epiyear,epiweek,weekly_rate,state_mean,state_std,zflu
2020-10-24,01,Alabama,5108468,3.0,2020/2021,3,2020,43,0.0581654726264561,91.62790697674419,144.89944458557343,-0.6116511159185507
2020-10-31,01,Alabama,5108468,18.0,2020/2021,4,2020,44,0.348992835758737,91.62790697674419,144.89944458557343,-0.5081310503799873
2020-11-07,01,Alabama,5108468,21.0,2020/2021,5,2020,45,0.407158308385193,91.62790697674419,144.89944458557343,-0.48742703727227454
2020-11-14,01,Alabama,5108468,25.0,2020/2021,6,2020,46,0.484712271887134,91.62790697674419,144.89944458557343,-0.459821686461991
2020-11-21,01,Alabama,5108468,11.0,2020/2021,7,2020,47,0.213273399630339,91.62790697674419,144.89944458557343,-0.5564404142979835
2020-11-28,01,Alabama,5108468,17.0,2020/2021,8,2020,48,0.329604344883251,91.62790697674419,144.89944458557343,-0.5150323880825581
2020-12-05,01,Alabama,5108468,12.0,2020/2021,9,2020,49,0.232661890505824,91.62790697674419,144.89944458557343,-0.5495390765954126
2020-12-12,01,Alabama,5108468,6.0,2020/2021,10,2020,50,0.116330945252912,91.62790697674419,144.89944458557343,-0.590947102810838
2020-12-19,01,Alabama,5108468,35.0,2020/2021,11,2020,51,0.678597180641988,91.62790697674419,144.89944458557343,-0.39080830943628203
2020-12-26,01,Alabama,5108468,19.0,2020/2021,12,2020,52,0.368381326634222,91.62790697674419,144.89944458557343,-0.5012297126774163
2021-01-02,01,Alabama,5108468,20.0,2020/2021,13,2020,53,0.387769817509707,91.62790697674419,144.89944458557343,-0.49432837497484544
2021-01-09,01,Alabama,5108468,33.0,2020/2021,14,2021,1,0.639820198891017,91.62790697674419,144.89944458557343,-0.4046109848414238
2021-01-16,01,Alabama,5108468,42.0,2020/2021,15,2021,2,0.814316616770385,91.62790697674419,144.89944458557343,-0.3424989455182858
2021-01-23,01,Alabama,5108468,22.0,2020/2021,16,2021,3,0.426546799260678,91.62790697674419,144.89944458557343,-0.48052569956970365
2021-01-30,01,Alabama,5108468,46.0,2020/2021,17,2021,4,0.891870580272327,91.62790697674419,144.89944458557343,-0.3148935947080022
2021-02-06,01,Alabama,5108468,37.0,2020/2021,18,2021,5,0.717374162392959,91.62790697674419,144.89944458557343,-0.37700563403114024
2021-02-13,01,Alabama,5108468,33.0,2020/2021,19,2021,6,0.639820198891017,91.62790697674419,144.89944458557343,-0.4046109848414238
2021-02-20,01,Alabama,5108468,29.0,2020/2021,20,2021,7,0.562266235389076,91.62790697674419,144.89944458557343,-0.4322163356517074
2021-02-27,01,Alabama,5108468,31.0,2020/2021,21,2021,8,0.601043217140046,91.62790697674419,144.89944458557343,-0.4184136602465656
2021-03-06,01,Alabama,5108468,29.0,2020/2021,22,2021,9,0.562266235389076,91.62790697674419,144.89944458557343,-0.4322163356517074
2021-03-13,01,Alabama,5108468,23.0,2020/2021,23,2021,10,0.445935290136163,91.62790697674419,144.89944458557343,-0.4736243618671328
2021-03-20,01,Alabama,5108468,28.0,2020/2021,24,2021,11,0.54287774451359,91.62790697674419,144.89944458557343,-0.4391176733542783
2021-03-27,01,Alabama,5108468,18.0,2020/2021,25,2021,12,0.348992835758737,91.62790697674419,144.89944458557343,-0.5081310503799873
2021-04-03,01,Alabama,5108468,10.0,2020/2021,26,2021,13,0.193884908754854,91.62790697674419,144.89944458557343,-0.5633417520005544
2021-04-10,01,Alabama,5108468,13.0,2020/2021,27,2021,14,0.25205038138131,91.62790697674419,144.89944458557343,-0.5426377388928417
